energy_code,country_code,year,electricity_ktoe,country,energy_source
BIOE,AT,1995,157.782,Austria,Bioenergy
BIOE,BE,1995,27.601,Belgium,Bioenergy
BIOE,BG,1995,0.0,Bulgaria,Bioenergy
BIOE,CY,1995,0.0,Cyprus,Bioenergy
BIOE,CZ,1995,34.824,Czechia,Bioenergy
BIOE,DE,1995,209.2,Germany,Bioenergy
BIOE,DK,1995,55.498,Denmark,Bioenergy
BIOE,EE,1995,0.516,Estonia,Bioenergy
BIOE,EL,1995,0.086,Greece,Bioenergy
BIOE,ES,1995,86.93,Spain,Bioenergy
BIOE,FI,1995,568.186,Finland,Bioenergy
BIOE,FR,1995,156.664,France,Bioenergy
BIOE,HR,1995,0.774,Croatia,Bioenergy
BIOE,HU,1995,4.848,Hungary,Bioenergy
BIOE,IE,1995,0.0,Ireland,Bioenergy
BIOE,IT,1995,18.745,Italy,Bioenergy
BIOE,LT,1995,0.0,Lithuania,Bioenergy
BIOE,LU,1995,1.676,Luxembourg,Bioenergy
BIOE,LV,1995,0.0,Latvia,Bioenergy
BIOE,MT,1995,0.0,Malta,Bioenergy
BIOE,NL,1995,86.817,Netherlands,Bioenergy
BIOE,NO,1995,24.85,Norway,Bioenergy
BIOE,PL,1995,5.761,Poland,Bioenergy
BIOE,PT,1995,84.953,Portugal,Bioenergy
BIOE,RO,1995,0.0,Romania,Bioenergy
BIOE,SE,1995,202.408,Sweden,Bioenergy
BIOE,SI,1995,0.0,Slovenia,Bioenergy
BIOE,SK,1995,0.0,Slovakia,Bioenergy
C0000X0350-0370,AT,1995,371.539,Austria,Other / combined category
C0000X0350-0370,BE,1995,1420.206,Belgium,Other / combined category
C0000X0350-0370,BG,1995,1489.424,Bulgaria,Other / combined category
C0000X0350-0370,CY,1995,0.0,Cyprus,Other / combined category
C0000X0350-0370,CZ,1995,3812.726,Czechia,Other / combined category
C0000X0350-0370,DE,1995,24861.737,Germany,Other / combined category
C0000X0350-0370,DK,1995,2352.193,Denmark,Other / combined category
C0000X0350-0370,EE,1995,0.0,Estonia,Other / combined category
C0000X0350-0370,EL,1995,2467.498,Greece,Other / combined category
C0000X0350-0370,ES,1995,5667.498,Spain,Other / combined category
C0000X0350-0370,EU27_2020,1995,66715.909,EU27 (total of EU),Other / combined category
C0000X0350-0370,FI,1995,952.193,Finland,Other / combined category
C0000X0350-0370,FR,1995,2079.02,France,Other / combined category
C0000X0350-0370,HR,1995,20.808,Croatia,Other / combined category
C0000X0350-0370,HU,1995,780.739,Hungary,Other / combined category
C0000X0350-0370,IE,1995,603.439,Ireland,Other / combined category
